Open Time,Open,High,Low,Close,Volume,Taker Buy Base Volume,Taker Buy Quote Volume
2023-12-28,43428.86,43787.57,42241.79,42563.76,35150.52485,17422.8191,747631903.055399
2023-12-29,42563.76,43111.0,41300.0,42066.95,42597.18912,21195.34128,897324724.7968955
2023-12-30,42066.94,42612.32,41520.3,42140.28,22906.57818,11727.69648,494133887.9071811
2023-12-31,42140.29,42899.0,41965.84,42283.58,23585.91603,11997.14865,509478742.7445108
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,14331.7318,617352094.5605195
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,33817.14447,1527964124.2375848
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,39103.99162,1687665202.9513144
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,23605.90059,1030075267.839013
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,24015.06426,1049655019.1400094
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,9048.57073,396341787.3638776
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,11613.52347,511871007.5258263
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,38728.8053,1755312207.6681833
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,34825.45429,1620151226.3362696
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,46910.79439,2153126701.3521643
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,44076.1683,2070467939.6599925
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,41707.58066,1850840878.9778297
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,17748.09824,760432218.2454551
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,13690.30843,583261659.738576
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,19924.7603,849997411.087583
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,24064.55667,1031525441.9352086
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,16648.20529,710532768.0475779
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,21085.14336,883292634.2063637
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,24347.5002,1004478721.3792055
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,7557.36632,314535141.9955636
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,5576.56045,232552207.1607329
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,26788.13985,1086650848.0670526
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,30913.97177,1214417243.6964118
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,20673.05725,825887009.4744226
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,15685.24919,626369240.3733964
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,24674.75551,1016105199.7171212
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667,7485.64978,312938659.2480243
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838,12971.1882,548670338.639401
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,15996.88627,681504721.3585126
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,19317.29993,838876408.4556684
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,20289.94825,871009715.1702207
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,18134.84304,770635549.4842128
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,15645.5711,673834785.747791
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998,5691.78572,245377398.5105957
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404,8427.12671,360928641.0597722
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905,14984.06962,642077579.5827268
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85433,12810.98205,550866463.7409194
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.59915,17755.87738,772721372.4443885
2024-02-08,44349.6,45614.3,44331.1,45288.65,45439.62231,22731.52397,1021963499.800335
2024-02-09,45288.66,48200.0,45242.12,47132.77,73503.481,37360.96419,1754880225.38021
2024-02-10,47132.78,48170.0,46800.0,47751.09,24802.35936,12740.69912,604397015.51796
2024-02-11,47751.08,48592.66,47557.16,48299.99,29958.80837,15741.38294,758411879.955689
